Date,Region,Amount,Units
2025-06-13,South,16177.24,252
2025-06-14,East,11967.26,199
2025-07-15,West,11276.43,274
2025-07-16,North,13755.33,454
2025-07-17,South,4336.56,190
2025-07-18,East,15346.83,270
2025-07-19,West,15541.15,169
2025-07-20,North,9292.93,318
2025-07-21,South,15079.05,173
2025-07-22,East,20419.36,422
2025-07-23,West,8563.68,480
2025-07-24,North,17600.96,102
2025-07-25,South,16267.41,358
2025-07-26,East,15056.84,18
2025-07-27,West,10659.42,196
2025-07-28,North,12620.15,98
2025-07-01,South,15408.54,496
2025-07-02,East,16380.84,288
2025-07-03,West,13096.08,326
2025-07-04,North,13668.73,373
2025-07-05,South,10216.32,248
2025-07-06,East,12326.81,426
2025-07-07,West,12582.29,200
2025-08-08,North,11468.21,192
2025-08-09,South,10979.68,378
2025-08-10,East,10400.08,472
2025-08-11,West,13622.35,341
2025-08-12,North,14768.82,134
2025-08-13,South,11171.43,174
2025-08-14,East,11339.85,88
2025-08-15,West,9022.47,386
2025-08-16,North,10862.18,148
2025-08-17,South,17664.67,233
2025-08-18,East,17660.31,441
2025-08-19,West,13719.21,479
2025-08-20,North,11311.77,53
2025-08-21,South,14777.45,257
2025-08-22,East,7921.61,362
2025-08-23,West,11660.06,316
2025-08-24,North,9060.60,398
2025-08-25,South,15453.11,248
2025-08-26,East,15257.49,124
2025-08-27,West,15630.06,349
2025-08-28,North,10206.43,256
2025-09-01,South,14632.95,223
2025-09-02,East,16732.70,490
2025-09-03,West,18035.28,221
2025-09-04,North,9672.34,469
2025-09-05,South,9790.18,350
2025-09-06,East,10098.61,484
2025-09-07,West,12902.23,422
2025-09-08,North,12076.48,84
2025-09-09,South,11552.79,108
2025-09-10,East,12044.86,23
2025-09-11,West,9342.43,28
2025-09-12,North,15624.81,392
2025-09-13,South,13921.74,229
2025-09-14,East,16219.78,355
2025-09-15,West,11110.40,401
2025-09-16,North,12109.46,495
2025-09-17,South,12352.87,452
2025-09-18,East,13714.79,411
2025-09-19,West,14317.86,310
2025-09-20,North,14585.36,192
2025-09-21,South,9799.28,149
2025-10-22,East,16736.57,85
2025-10-23,West,11925.17,335
2025-10-24,North,16500.93,417
2025-10-25,South,8276.94,89
2025-10-26,East,9314.05,22
2025-10-27,West,11974.70,340
2025-10-28,North,12513.40,22
2025-10-01,South,7041.96,484
2025-10-02,East,13489.50,321
2025-10-03,West,14238.91,179
2025-10-04,North,14698.71,153
2025-10-05,South,12159.45,276
2025-10-06,East,14330.74,454
2025-10-07,West,8714.62,23
2025-10-08,North,13863.83,462
2025-10-09,South,7580.79,357
2025-10-10,East,11433.67,109
2025-10-11,West,10810.91,301
2025-10-12,North,12652.89,125
2025-10-13,South,16111.99,388
2025-10-14,East,11552.86,102
2025-11-15,West,11653.05,168
2025-11-16,North,12854.32,284
2025-11-17,South,9724.64,362
2025-11-18,East,16741.98,332
2025-11-19,West,13492.49,183
2025-11-20,North,8610.52,16
2025-11-21,South,13730.74,266
2025-11-22,East,13876.43,385
2025-11-23,West,15685.40,193
2025-11-24,North,13632.99,370
2025-11-25,South,9338.08,242
2025-11-26,East,13136.72,54
2025-11-27,West,18001.61,29
2025-11-28,North,14574.65,487
2025-11-01,South,5030.49,247
2025-11-02,East,8407.28,128
2025-11-03,West,11376.91,16
2025-11-04,North,5703.41,111
2025-11-05,South,14012.12,199
2025-11-06,East,15108.94,102
2025-11-07,West,10761.18,495
2025-12-08,North,19964.16,121
2025-12-09,South,6093.34,260
2025-12-10,East,16759.54,425
2025-12-11,West,13927.88,439
2025-12-12,North,12821.52,407
2025-12-13,South,11837.39,238
2025-12-14,East,16366.26,358
2025-12-15,West,18319.14,203
2025-12-16,North,14915.87,79
2025-12-17,South,12105.26,457
2025-12-18,East,8683.43,160
2025-12-19,West,16405.16,481
2025-12-20,North,9214.91,397
2025-12-21,South,13505.92,242
2025-12-22,East,11583.62,471
2025-12-23,West,11574.90,497
2025-12-24,North,18804.44,373
2025-12-25,South,11319.00,415
2025-12-26,East,12488.12,320
